,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/narendramodi/status/1803088352670806521#m,"Witnessing the Ganga Aarti in Kashi is a mesmerizing experience. The beauty of the sacred Ganga, brightness and devotion all around make it special.",Narendra Modi,16596,71,2258,452
1,https://twitter.com/narendramodi/status/1803077585632419879#m,किसान सम्मान सम्मेलन में मुझे अपार आशीर्वाद देने उमड़ी काशी की देवतुल्य जनता-जनार्दन का हृदय से बहुत-बहुत आभार!,Narendra Modi,11407,26,1770,373
2,https://twitter.com/narendramodi/status/1803077122115707095#m,काशी ने सारी दुनिया को दिखाया है कि कैसे एक हेरिटेज सिटी भी अर्बन डेवलपमेंट का नया अध्याय लिख सकती है।,Narendra Modi,3692,16,936,159
3,https://twitter.com/narendramodi/status/1803076817777041473#m,मेरा सपना है कि दुनिया की हर डाइनिंग टेबल पर भारत का फूड प्रोडक्ट भी होना चाहिए।,Narendra Modi,5809,41,1330,305
4,https://twitter.com/narendramodi/status/1803076602936373431#m,ड्रोन दीदी की तरह अब कृषि सखी के रूप में देशभर की बहनों की नई भूमिका से उन्हें सम्मान और आय के नए अवसर सुनिश्चित होंगे।,Narendra Modi,3225,18,882,138
5,https://twitter.com/narendramodi/status/1803076392084545881#m,"देशवासियों का विश्वास मेरी सबसे बड़ी पूंजी है, जो मुझे उनके संकल्पों को पूरा करने के लिए प्रेरित करता है।",Narendra Modi,3906,25,1047,233
6,https://twitter.com/narendramodi/status/1803075987824894074#m,"काशी के लोगों ने सिर्फ MP नहीं, बल्कि तीसरी बार PM भी चुना है। इसलिए यहां के अपने परिवारजनों को डबल बधाई!",Narendra Modi,11944,29,2162,363
7,https://twitter.com/narendramodi/status/1803058006013227024#m,"LIVE from banks of Maa Ganga in Kashi... Praying for the peace, prosperity and well-being of 140 crore Indians. https://twitter.com/i/broadcasts/1vOxwjjOMDVJB",Narendra Modi,18463,146,3975,1007
8,https://twitter.com/narendramodi/status/1803033731231285564#m,अपने किसान भाई-बहनों का जीवन आसान बनाने के लिए हमारी सरकार प्रतिबद्ध है। काशी की पवित्र भूमि से प्रधानमंत्री किसान सम्मान निधि योजना की 17वीं किस्त जारी करते हुए गर्व की अनुभूति हो रही है। https://twitter.com/i/broadcasts/1yNGaZZmeOvJj,Narendra Modi,18883,174,4304,1045
9,https://twitter.com/narendramodi/status/1802994577420226866#m,"Delighted to share that after a gap of some months due to the elections, #MannKiBaat is back! This month's programme will take place on Sunday, 30th June. I call upon all of you to share your ideas and inputs for the same. Write on the MyGov Open Forum, NaMo App or record your message on 1800 11 7800.  https://www.mygov.in/group-issue/inviting-ideas-mann-ki-baat-prime-minister-narendra-modi-30th-june-2024/",Narendra Modi,29079,306,4250,1759
10,https://twitter.com/narendramodi/status/1802989895197073594#m,वाराणसी में आज शाम करीब 5 बजे अपने अन्नदाता भाई-बहनों से संवाद का सुअवसर मिलेगा। यहां 'पीएम-किसान' की 17वीं किस्त जारी करने के साथ ही कृषि सखियों को प्रमाण पत्र भी प्रदान करूंगा। इसके बाद गंगा आरती और दर्शन-पूजन का सौभाग्य प्राप्त होगा।  https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2025877&RegID=3&LID=1,Narendra Modi,23430,87,4083,823
11,https://twitter.com/narendramodi/status/1802908408015675841#m,उष्ट्रासन पीठ और गर्दन की मांसपेशियों को मजबूत बनाता है। यह रक्त संचार को बेहतर बनाने के साथ ही आंखों की रोशनी भी बढ़ाता है।,Narendra Modi,24920,117,5209,844
12,https://twitter.com/narendramodi/status/1802907808020434996#m,Ustrasana strengthens the muscles of the back and neck. It also improves blood circulation and improves eyesight.,Narendra Modi,17403,96,3373,466
13,https://twitter.com/narendramodi/status/1802699116260245715#m,Met US National Security Advisor @JakeSullivan46. India is committed to further strengthen the India-US Comprehensive Global Strategic Partnership for global good.,Narendra Modi,91692,177,8633,1272
14,https://twitter.com/narendramodi/status/1802659536572215654#m,"Warm congratulations, Excellency @CyrilRamaphosa on your re-election as the President of the Republic of South Africa. I look forward to working with you to further strengthen the India-South Africa strategic partnership.",Narendra Modi,33811,46,3676,741
15,https://twitter.com/narendramodi/status/1802590211265925340#m,The railway accident in West Bengal is saddening. Condolences to those who lost their loved ones. I pray that the injured recover at the earliest. Spoke to officials and took stock of the situation. Rescue operations are underway to assist the affected. The Railways Minister Shri @AshwiniVaishnaw Ji is on the way to the site of the mishap as well.,Narendra Modi,77471,469,8554,3473
16,https://twitter.com/narendramodi/status/1802542890922435048#m,भद्रासन का अभ्यास जोड़ों को मजबूत बनाता है और घुटने के दर्द को कम करता है। यह पेट की तकलीफों को दूर रखने में भी मददगार है।,Narendra Modi,33108,151,6950,901
